user_id,idade,genero,numero_de_dependentes,ultimo_salario_informado,classificacao_de_inadimplencia,taxa_de_endividamento,atraso_superior_90_dias,atraso_30_59_dias,atraso_60_89_dias,total_de_emprestimo_por_id,score_segmentado,faixa_etaria,perfil_pagador
15009,21,M,1,1,Sem histórico de inadimplência,0,0,0,0,1,0,Jovens (18-30 anos),bom_pagador
18209,21,M,0,1300,Sem histórico de inadimplência,0,0,0,0,1,0,Jovens (18-30 anos),bom_pagador
8870,21,F,0,5400,Sem histórico de inadimplência,0,0,0,0,1,0,Jovens (18-30 anos),bom_pagador
26170,21,F,0,1,Sem histórico de inadimplência,0,0,0,0,2,0,Jovens (18-30 anos),bom_pagador
35429,21,M,2,2250,Sem histórico de inadimplência,0,0,0,0,1,0,Jovens (18-30 anos),bom_pagador
16848,21,M,0,0,Sem histórico de inadimplência,0,0,0,0,1,0,Jovens (18-30 anos),bom_pagador
10438,21,F,0,1160,Sem histórico de inadimplência,0,0,0,0,3,0,Jovens (18-30 anos),bom_pagador
24559,21,F,0,0,Sem histórico de inadimplência,0,0,0,0,1,0,Jovens (18-30 anos),bom_pagador
17258,21,F,0,845,Sem histórico de inadimplência,0,0,0,0,1,0,Jovens (18-30 anos),bom_pagador
5381,21,F,0,9686,Sem histórico de inadimplência,0,0,0,0,2,0,Jovens (18-30 anos),bom_pagador
12520,21,M,0,0,Sem histórico de inadimplência,0,0,0,0,1,0,Jovens (18-30 anos),bom_pagador
20846,21,F,0,929,Sem histórico de inadimplência,0,0,0,0,2,0,Jovens (18-30 anos),bom_pagador
22623,21,M,0,2420,Sem histórico de inadimplência,0,0,0,0,1,0,Jovens (18-30 anos),bom_pagador
280,21,M,0,4000,Sem histórico de inadimplência,0,0,0,0,2,0,Jovens (18-30 anos),bom_pagador
9884,21,F,0,833,Sem histórico de inadimplência,0,0,0,0,0,0,Jovens (18-30 anos),bom_pagador
15684,21,F,0,5400,Sem histórico de inadimplência,0,0,0,0,1,0,Jovens (18-30 anos),bom_pagador
4732,21,M,0,550,Sem histórico de inadimplência,0,0,0,0,1,0,Jovens (18-30 anos),bom_pagador
14999,21,F,0,0,Sem histórico de inadimplência,0,0,0,0,0,0,Jovens (18-30 anos),bom_pagador
35630,21,F,0,700,Sem histórico de inadimplência,0,0,0,0,1,0,Jovens (18-30 anos),bom_pagador
9754,21,M,0,854,Sem histórico de inadimplência,0,0,0,0,1,0,Jovens (18-30 anos),bom_pagador
3985,21,M,0,3300,Sem histórico de inadimplência,0,0,0,0,1,0,Jovens (18-30 anos),bom_pagador
13372,21,M,0,2000,Sem histórico de inadimplência,0,0,0,0,1,0,Jovens (18-30 anos),bom_pagador
27733,21,F,0,1000,Sem histórico de inadimplência,0,0,0,0,1,0,Jovens (18-30 anos),bom_pagador
